ID	Text	Lat	Long	Location	Dialect	Genre	YoC	YoM	AuthName	AuthBD	AuthSex	AuthAge	RecName	RecBD	RecSex	RecAge	RecRelation	Words	OCWords	NamWords	ForWords	Types	OCTypes	NamTypes	ForTypes	Chars	OCChars	NamChars	ForChars	Tokens	Verb	Clause	PP	Nom	Dat	Acc	NomVerb	DatVerb	AccVerb	NomDat	NomAcc	DatAcc	Pas	NomCP	DatCP	AccCP	NomSize	DatSize	AccSize	Adj
coboeth.o2,Bo:27.62.21.1159	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	MAT	DP	NomPronoun	DatIndefinite	AccConj	NomV	VDat	AccV	NomDat	AccNom	AccDat	ACT	NomNoCP	DatHasCP	AccHasCP	1	5	9	NA
coboeth.o2,Bo:27.62.21.1159	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomPronoun	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	1	NA	NA	NA
coboeth.o2,Bo:27.62.21.1159	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomWHEmpty	DatNull	AccPronoun	NA	NA	AccV	NA	NA	NA	ACT	NomNoCP	NODat	AccNoCP	NA	NA	1	NA
coboeth.o2,Bo:27.62.29.1167	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	MAT	DP	NomPronoun	DatIndefinite	AccIndefinite	NomV	VDat	AccV	NomDat	NomAcc	AccDat	ACT	NomNoCP	DatHasCP	AccNoCP	1	8	2	Adjacent
coboeth.o2,Bo:27.62.29.1167	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomWHEmpty	DatNull	AccPronoun	NA	NA	AccV	NA	NA	NA	ACT	NomNoCP	NODat	AccNoCP	NA	NA	1	NA
coboeth.o2,Bo:27.62.29.1167	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomPronoun	DatNull	AccPronoun	NA	NA	NA	NA	NomAcc	NA	ACT	NomNoCP	NODat	AccNoCP	1	NA	1	NA
coboeth.o2,Bo:27.63.1.1172	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	MAT	NoIO	NomIndefinite	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	3	NA	NA	NA
coboeth.o2,Bo:27.63.1.1172	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomIndefinite	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	2	NA	NA	NA
coboeth.o2,Bo:27.63.1.1172	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	DP	NomPronoun	DatIndefinite	AccIndefinite	NA	NA	NA	NomDat	NomAcc	AccDat	ACT	NomNoCP	DatNoCP	AccNoCP	1	3	2	NA
coboeth.o2,Bo:27.64.19.1200	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	SUB	NoIO	NomWHIndefinite	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	NA	NA	NA	NA
